text_id,token,label
000052-004,Lalu,O
000052-004,kaum,O
000052-004,kami,O
000052-004,memusuhi,O
000052-004,kami,O
000052-004,",",O
000052-004,menyiksa,O
000052-004,kami,O
000052-004,dan,O
000052-004,menimbulkan,O
000052-004,cobaan,O
000052-004,terhadap,O
000052-004,agama,O
000052-004,kami,O
000052-004,",",O
000052-004,dengan,O
000052-004,tujuan,O
000052-004,untuk,O
000052-004,mengembalikan,O
000052-004,kami,O
000052-004,kepada,O
000052-004,penyembahan,O
000052-004,terhadap,O
000052-004,patung,O
000052-004,",",O
000052-004,tanpa,O
000052-004,diperbolehkan,O
000052-004,menyembah,O
000052-004,Allah,O
000052-004,",",O
000052-004,agar,O
000052-004,kami,O
000052-004,menghalalkan,O
000052-004,berbagai,O
000052-004,macam,O
000052-004,keburukan,O
000052-004,seperti,O
000052-004,dahulu,O
000052-004,.,O
000052-004,Setelah,O
000052-004,mereka,O
000052-004,menekan,O
000052-004,",",O
000052-004,berbuat,O
000052-004,semena-mena,O
000052-004,",",O
000052-004,mempersempit,O
000052-004,gerak,O
000052-004,kami,O
000052-004,dan,O
000052-004,menghalangi,O
000052-004,diri,O
000052-004,kami,O
000052-004,dari,O
000052-004,agama,O
000052-004,kami,O
000052-004,",",O
000052-004,maka,O
000052-004,kami,O
000052-004,pun,O
000052-004,pergi,O
000052-004,ke,O
000052-004,negeri,O
000052-004,tuan,O
000052-004,dan,O
000052-004,memilih,O
000052-004,tuan,O
000052-004,daripada,O
000052-004,orang,O
000052-004,lain,O
000052-004,.,O
000052-004,Kami,O
000052-004,gembira,O
000052-004,mendapat,O
000052-004,perlindungan,O
000052-004,tuan,O
000052-004,dan,O
000052-004,kami,O
000052-004,tetap,O
000052-004,berharap,O
000052-004,agar,O
000052-004,kami,O
000052-004,tidak,O
000052-004,dizhalimi,O
000052-004,di,O
000052-004,sisi,O
000052-004,tuan,O
000052-004,",",O
000052-004,wahai,O
000052-004,tuan,O
000052-004,Raja,O
000052-004,"!""""",O
000052-004,"""",O
000052-004,Apakah,O
000052-004,engkau,O
000052-004,bisa,O
000052-004,membacakan,O
000052-004,sedikit,O
000052-004,ajaran,O
000052-004,dari,O
000052-004,Allah,O
000052-004,yang,O
000052-004,dibawa,O
000052-004,(,O
000052-004,Rasulullah,B_PERSON
000052-004,")?""",O
000052-004,tanya,O
000052-004,Najasyi,B_PERSON
000052-004,.,O
000052-004,"""",O
000052-004,Ya,O
000052-004,".""",O
000052-004,Jawab,O
000052-004,Ja'far,O
000052-004,.,O
000052-004,"""",O
000052-004,Kalau,O
000052-004,begitu,O
000052-004,bacakanlah,O
000052-004,kepadaku,O
000052-004,"!""",O
000052-004,Lalu,O
000052-004,Ja'far,O
000052-004,membacakan,O
000052-004,dengan,O
000052-004,menghafal,O
000052-004,",",O
000052-004,dari,O
000052-004,",",O
000052-004,"""",O
000052-004,Kaf,O
000052-004,ha'ya',O
000052-004,ain,O
000052-004,shad,O
000052-004,""".",O
000052-004,Dari,O
000052-004,surat,O
000052-004,Maryam,O
000052-004,.,O
000052-004,Demi,O
000052-004,Allah,O
000052-004,",",O
000052-004,Najasyi,B_PERSON
000052-004,menangis,O
000052-004,hingga,O
000052-004,membasahi,O
000052-004,jenggotnya,O
000052-004,",",O
000052-004,begitu,O
000052-004,pula,O
000052-004,para,O
000052-004,uskupnya,O
000052-004,hingga,O
000052-004,jenggot,O
000052-004,mereka,O
000052-004,basah,O
000052-004,oleh,O
000052-004,air,O
000052-004,mata,O
000052-004,",",O
000052-004,tatkala,O
000052-004,mendengar,O
000052-004,apa,O
000052-004,yang,O
000052-004,dibacakan,O
000052-004,kepada,O
000052-004,mereka,O
000052-004,.,O
000052-004,Kemudian,O
000052-004,Najasyi,B_PERSON
000052-004,berkata,O
000052-004,",",O
000052-004,"""",O
000052-004,Sesungguhnya,O
000052-004,ini,O
000052-004,dan,O
000052-004,yang,O
000052-004,dibawa,O
000052-004,Isa,O
000052-004,benar-,O
000052-004,benar,O
000052-004,keluar,O
000052-004,dari,O
000052-004,satu,O
000052-004,misykat,O
000052-004,.,O
000052-004,Pergilah,O
000052-004,kalian,O
000052-004,berdua,O
000052-004,.,O
000052-004,Demi,O
000052-004,Allah,O
000052-004,aku,O
000052-004,tidak,O
000052-004,akan,O
000052-004,menyerahkan,O
000052-004,mereka,O
000052-004,kepada,O
000052-004,kalian,O
000052-004,berdua,O
000052-004,dan,O
000052-004,sama,O
000052-004,sekali,O
000052-004,tidak,O
000052-004,".""",O
000052-004,Maka,O
000052-004,keduanya,O
000052-004,beranjak,O
000052-004,pergi,O
000052-004,dari,O
000052-004,hadapan,O
000052-004,Najasyi,B_PERSON
000052-004,.,O
000139-001,Peperangan,O
000139-001,sudah,O
000139-001,usai,O
000139-001,dengan,O
000139-001,kekalahan,O
000139-001,telak,O
000139-001,di,O
000139-001,pihak,O
000139-001,orang-orang,O
000139-001,musyrik,O
000139-001,dan,O
000139-001,kemenangan,O
000139-001,yang,O
000139-001,nyata,O
000139-001,di,O
000139-001,pihak,O
000139-001,orang-orang,O
000139-001,Muslim,O
000139-001,.,O
000139-001,Yang,O
000139-001,mati,O
000139-001,syahid,O
000139-001,dari,O
000139-001,pasukan,O
000139-001,Muslimin,O
000139-001,dalam,O
000139-001,peperangan,O
000139-001,ini,O
000139-001,ada,O
000139-001,empat,O
000139-001,belas,O
000139-001,orang,O
000139-001,",",O
000139-001,enam,O
000139-001,dari,O
000139-001,Muhajirin,O
000139-001,dan,O
000139-001,delapan,O
000139-001,dari,O
000139-001,Anshar,O
000139-001,.,O
000139-001,Sedangkan,O
000139-001,orang-orang,O
000139-001,musyrik,O
000139-001,mengalami,O
000139-001,kerugian,O
000139-001,yang,O
000139-001,amat,O
000139-001,banyak,O
000139-001,Korban,O
000139-001,di,O
000139-001,antara,O
000139-001,mereka,O
000139-001,ada,O
000139-001,tujuh,O
000139-001,puluh,O
000139-001,orang,O
000139-001,dan,O
000139-001,tujuh,O
000139-001,puluh,O
000139-001,orang,O
000139-001,pula,O
000139-001,yang,O
000139-001,tertawan,O
000139-001,",",O
000139-001,yang,O
000139-001,kebanyakan,O
000139-001,justru,O
