text_id,token,label,pos_tag
000048-004,Demi,O,ADP
000048-004,Allah,O,PROPN
000048-004,",",O,PUNCT
000048-004,telah,O,AUX
000048-004,datang,O,VERB
000048-004,satu,O,NUM
000048-004,urusan,O,NOUN
000048-004,yang,O,PRON
000048-004,kalian,O,PRON
000048-004,belum,O,PART
000048-004,juga,O,ADV
000048-004,bisa,O,AUX
000048-004,mencari,O,VERB
000048-004,alasan,O,NOUN
000048-004,untuk,O,SCONJ
000048-004,menghadapinya,O,VERB
000048-004,.,O,PUNCT
000048-004,Muhammad,B_PERSON,PROPN
000048-004,adalah,O,AUX
000048-004,seorang,O,DET
000048-004,pemuda,O,NOUN
000048-004,belia,O,ADJ
000048-004,di,O,ADP
000048-004,tengah,O,NOUN
000048-004,kalian,O,PRON
000048-004,",",O,PUNCT
000048-004,yang,O,PRON
000048-004,paling,O,ADV
000048-004,kalian,O,PRON
000048-004,ridhai,O,ADJ
000048-004,",",O,PUNCT
000048-004,paling,O,ADV
000048-004,jujur,O,ADJ
000048-004,perkataannya,O,NOUN
000048-004,dan,O,CCONJ
000048-004,paling,O,ADV
000048-004,besar,O,ADJ
000048-004,amanatnya,O,NOUN
000048-004,",",O,PUNCT
000048-004,sehingga,O,SCONJ
000048-004,tatkala,O,SCONJ
000048-004,kalian,O,PRON
000048-004,melihat,O,VERB
000048-004,uban,O,NOUN
000048-004,di,O,ADP
000048-004,kedua,O,NUM
000048-004,pelipisnya,O,NOUN
000048-004,dan,O,CCONJ
000048-004,dia,O,PRON
000048-004,membawa,O,VERB
000048-004,apa,O,PRON
000048-004,yang,O,PRON
000048-004,telah,O,AUX
000048-004,dia,O,PRON
000048-004,bawa,O,VERB
000048-004,kepada,O,ADP
000048-004,kalian,O,PRON
000048-004,",",O,PUNCT
000048-004,tiba-tiba,O,ADV
000048-004,kalian,O,PRON
000048-004,mengatakan,O,VERB
000048-004,",",O,PUNCT
000048-004,Dia,O,PRON
000048-004,adalah,O,AUX
000048-004,laki-laki,O,NOUN
000048-004,penyihir.',O,PUNCT
000048-004,Tidak,O,PART
000048-004,",",O,PUNCT
000048-004,demi,O,ADP
000048-004,Allah,O,PROPN
000048-004,",",O,PUNCT
000048-004,dia,O,PRON
000048-004,bukanlah,O,AUX
000048-004,laki-laki,O,NOUN
000048-004,penyihir,O,NOUN
000048-004,.,O,PUNCT
000048-004,Kita,O,PRON
000048-004,sudah,O,AUX
